"Key","en","fr","es","zh","hi","ar","pt","ru","ja","de","ko","tr","it","vi","pl","nl","th","cs","bn","id","ur","te","mr","ta","gu","uk","fil","ms","ro","hu","el","sv","da","no","fi","he","fa","ml"
"showing-transactions-from","Showing transactions from","Affichage des transactions de","Mostrando transacciones de","显示交易","से लेनदेन दिखा रहा है","عرض المعاملات من","Mostrando transações de","Показывая транзакции от","からのトランザクションを表示します","Zeigen von Transaktionen von","트랜잭션 표시","İşlemleri göstermek","Mostra transazioni da","Hiển thị các giao dịch từ","Pokazanie transakcji z","Transacties tonen van","แสดงธุรกรรมจาก","Zobrazení transakcí z","থেকে লেনদেন দেখাচ্ছে","Menunjukkan transaksi dari","سے لین دین دکھا رہا ہے","నుండి లావాదేవీలను చూపుతుంది","कडून व्यवहार दर्शवित आहे","இருந்து பரிவர்த்தனைகளைக் காட்டுகிறது","ના વ્યવહાર બતાવી રહ્યા છે","Показати транзакції від","Nagpapakita ng mga transaksyon mula sa","Menunjukkan urus niaga dari","Afișarea tranzacțiilor din","A tranzakciók bemutatása","Εμφάνιση συναλλαγών από","Visar transaktioner från","Viser transaktioner fra","Viser transaksjoner fra","Näytetään tapahtumia","מראה עסקאות מ","نشان دادن معاملات از","ഇടപാടുകൾ കാണിക്കുന്നു"
"days","days","jours","días","天","दिन","أيام","dias","дни","日々","Tage","날","günler","giorni","ngày","dni","dagen","วัน","dny","দিন","hari -hari","دن","రోజులు","दिवस","நாட்களில்","દિવસ","дні","araw","hari","zile","napok","ημέρες","dagar","dage","dager","päivä","ימים","روزها","ദിവസങ്ങളിൽ"
"day","day","jour","día","天","दिन","يوم","dia","день","日","Tag","낮","gün","giorno","ngày","dzień","dag","วัน","den","দিন","hari","دن","రోజు","दिवस","நாள்","દિવસ","день","araw","hari","zi","nap","ημέρα","dag","dag","dag","päivä","יְוֹם","روز","ദിവസം"
"category-to-transfer-all-transactions-to","Category to transfer all transactions to","Catégorie pour transférer toutes les transactions vers","Categoría para transferir todas las transacciones a","将所有交易转移到的类别","सभी लेनदेन को स्थानांतरित करने के लिए श्रेणी","فئة لنقل جميع المعاملات إلى","Categoria para transferir todas as transações para","Категория для передачи всех транзакций на","すべてのトランザクションをに転送するカテゴリ","Kategorie zur Übertragung aller Transaktionen auf","모든 트랜잭션을 전송하는 카테고리","Tüm işlemleri aktarmak için kategori","Categoria per trasferire tutte le transazioni a","Danh mục để chuyển tất cả các giao dịch sang","Kategoria do przeniesienia wszystkich transakcji do","Categorie om alle transacties over te dragen naar","หมวดหมู่เพื่อโอนธุรกรรมทั้งหมดไปยัง","Kategorie pro převod všech transakcí na","সমস্ত লেনদেন স্থানান্তর করতে বিভাগ","Kategori untuk mentransfer semua transaksi ke","تمام لین دین کو منتقل کرنے کے لئے زمرہ","అన్ని లావాదేవీలను బదిలీ చేయడానికి వర్గం","सर्व व्यवहार हस्तांतरित करण्यासाठी श्रेणी","அனைத்து பரிவர்த்தனைகளையும் மாற்ற வகை","બધા વ્યવહારોને સ્થાનાંતરિત કરવા માટે કેટેગરી","Категорія для перенесення всіх транзакцій на","Kategorya upang ilipat ang lahat ng mga transaksyon sa","Kategori untuk memindahkan semua urus niaga ke","Categorie pentru a transfera toate tranzacțiile către","Kategória az összes tranzakció átadásához","Κατηγορία για τη μεταφορά όλων των συναλλαγών σε","Kategori för att överföra alla transaktioner till","Kategori for at overføre alle transaktioner til","Kategori for å overføre alle transaksjoner til","Luokka kaikkien tapahtumien siirtämiseksi","קטגוריה להעברת כל העסקאות ל","دسته برای انتقال کلیه معاملات به","എല്ലാ ഇടപാടുകളും കൈമാറാൻ വിഭാഗം"
"merge-category","Merge Category","Catégorie de fusion","Categoría de fusionar","合并类别","मर्ज श्रेणी","دمج فئة","Categoria de mesclagem","Слияние категории","マージカテゴリ","Kategorie zusammenführen","병합 카테고리","Birleştirme kategorisi","Unisci categoria","Hợp nhất danh mục","Scal kategoria","Categorie samenvoegen","หมวดหมู่","Sloučit kategorii","মার্জ বিভাগ","Gabungan kategori","زمرہ ضم کریں","వర్గం విలీనం","विलीनीकरण श्रेणी","வகை ஒன்றிணைக்கவும்","શ્રેણીમાં મર્જ","Категорія злиття","Pagsamahin ang kategorya","Kategori Bergabung","Categorie de îmbinare","Egyesítse a kategóriát","Συγχώνευση","Sammanslagningskategori","Merge kategori","Fusjonskategori","Yhdistämisluokka","מיזוג קטגוריה","دسته ادغام","വിഭാഗം ലയിപ്പിക്കുക"
"merge-into","Merge into","Fusionner en","Unirse con","合并","में विलय","يندمج ب","Fundir -se","Слиться в","合併する","Vereinen","병합","Birleştirmek","Unisci con","Hợp nhất vào","Połączyć się","Samenvoegen in","รวมเข้ากับ","Sloučit do","মধ্যে একত্রীকরণ","Bergabung menjadi","میں ضم","విలీనం చేయండి","मध्ये विलीन","ஒன்றிணைக்கவும்","ભળી જવું","Об'єднуватися","Ihalo sa","Bergabung","Îmbinați -vă în","Összevon","Συγχωνεύομαι","Slås samman till","Fusionere til","Slå sammen til","Sulautua jhk","להתמזג אל","ادغام با","ലയിപ്പിക്കുക"
"merge-into-description","This will transfer all transactions to the new category and erase the old category","Cela transférera toutes les transactions vers la nouvelle catégorie et effacera l'ancienne catégorie","Esto transferirá todas las transacciones a la nueva categoría y borrará la categoría anterior.","这将把所有交易转移到新类别并删除旧类别","यह सभी लेनदेन को नई श्रेणी में स्थानांतरित करेगा और पुरानी श्रेणी को मिटा देगा","سيؤدي ذلك إلى نقل جميع المعاملات إلى الفئة الجديدة ومحو الفئة القديمة","Isso transferirá todas as transações para a nova categoria e apagará a categoria antiga","Это передаст все транзакции в новую категорию и стирает старую категорию","これにより、すべてのトランザクションが新しいカテゴリに転送され、古いカテゴリが消去されます","Dadurch wird alle Transaktionen in die neue Kategorie übertragen und die alte Kategorie gelöscht","이것은 모든 트랜잭션을 새 카테고리로 전송하고 이전 카테고리를 지우는 것입니다.","Bu, tüm işlemleri yeni kategoriye aktaracak ve eski kategoriyi silecektir","Tutte le transazioni verranno trasferite nella nuova categoria e verrà cancellata la vecchia categoria","Điều này sẽ chuyển tất cả các giao dịch sang danh mục mới và xóa danh mục cũ","To przeniesie wszystkie transakcje do nowej kategorii i usunie starą kategorię","Dit zal alle transacties overbrengen naar de nieuwe categorie en de oude categorie wissen","สิ่งนี้จะโอนธุรกรรมทั้งหมดไปยังหมวดหมู่ใหม่และลบหมวดหมู่เก่า","Tím se převede všechny transakce do nové kategorie a vymaže starou kategorii","এটি সমস্ত লেনদেনকে নতুন বিভাগে স্থানান্তর করবে এবং পুরানো বিভাগটি মুছবে","Ini akan mentransfer semua transaksi ke kategori baru dan menghapus kategori lama","یہ تمام لین دین کو نئے زمرے میں منتقل کرے گا اور پرانے زمرے کو مٹا دے گا","ఇది అన్ని లావాదేవీలను కొత్త వర్గానికి బదిలీ చేస్తుంది మరియు పాత వర్గాన్ని చెరిపివేస్తుంది","हे सर्व व्यवहार नवीन श्रेणीमध्ये हस्तांतरित करेल आणि जुने श्रेणी मिटवेल","இது அனைத்து பரிவர்த்தனைகளையும் புதிய வகைக்கு மாற்றி பழைய வகையை அழிக்கும்","આ તમામ વ્યવહારોને નવી કેટેગરીમાં સ્થાનાંતરિત કરશે અને જૂની કેટેગરી ભૂંસી નાખશે","Це перенесе всі транзакції на нову категорію та стерть стару категорію","Ililipat nito ang lahat ng mga transaksyon sa bagong kategorya at burahin ang lumang kategorya","Ini akan memindahkan semua urus niaga ke kategori baru dan memadamkan kategori lama","Aceasta va transfera toate tranzacțiile la noua categorie și va șterge vechea categorie","Ez az összes tranzakciót továbbítja az új kategóriába, és törli a régi kategóriát","Αυτό θα μεταφέρει όλες τις συναλλαγές στη νέα κατηγορία και θα διαγράψει την παλιά κατηγορία","Detta kommer att överföra alla transaktioner till den nya kategorin och radera den gamla kategorin","Dette overfører alle transaktioner til den nye kategori og sletter den gamle kategori","Dette vil overføre alle transaksjoner til den nye kategorien og slette den gamle kategorien","Tämä siirtää kaikki tapahtumat uuteen luokkaan ja poistaa vanhan luokan","זה יעביר את כל העסקאות לקטגוריה החדשה וימחק את הקטגוריה הישנה","این همه معاملات را به دسته جدید منتقل می کند و دسته قدیمی را پاک می کند","ഇത് എല്ലാ ഇടപാടുകളും പുതിയ വിഭാഗത്തിലേക്ക് മാറ്റും, പഴയ വിഭാഗം മായ്ക്കുക"
"merge","Merge","Fusionner","Unir","合并","मर्ज","دمج","Mesclar","Слияние","マージ","Verschmelzen","병합","Birleştirmek","Unisci","Hợp nhất","Łączyć","Samenvoegen","ผสาน","Spojit","একত্রিত করা","Menggabungkan","ضم","విలీనం","विलीन","ஒன்றிணைக்கவும்","ભ્રષ્ટ કરવું","Об'єднання","Pagsamahin","Bergabung","Combina","Összeolvad","Συγχώνευση","Sammanfoga","Fusionere","Slå sammen","Yhdistää","לְמַזֵג","ادغام","ലയിപ്പിക്കുക"
"set-title","Set Title","Fixer le titre","Establecer el título","设置标题","निर्धारित शीर्षक","تعيين العنوان","Defina o título","Установить заголовок","タイトルを設定します","Titel setzen","제목을 설정하십시오","Başlık","Imposta Titolo","Đặt tiêu đề","Ustaw tytuł","Stel titel in","ตั้งชื่อ","Nastavit název","শিরোনাম সেট করুন","Tetapkan judul","عنوان مقرر کریں","టైటిల్ సెట్","शीर्षक सेट करा","தலைப்பை அமைக்கவும்","માલિકી હક","Встановлений титул","Itakda ang pamagat","Tetapkan tajuk","Set titlu","Beállítva a címet","Ορίστηκε τίτλος","Titel","Sæt titel","Sett tittel","Asettaa otsikko","הגדר כותרת","عنوان تنظیم شده","ശീർഷകം സജ്ജമാക്കുക"
"absolute-spending-limits","Absolute Spending Limits","Limites de dépenses absolues","Límites de gasto absoluto","绝对支出限制","निरपेक्ष खर्च सीमाएँ","حدود الإنفاق المطلق","Limites de gastos absolutos","Абсолютные ограничения расходов","絶対的な支出制限","Absolute Ausgabengrenzen","절대 지출 한도","Mutlak harcama sınırları","Limiti di spesa assoluti","Giới hạn chi tiêu tuyệt đối","Absolutne limity wydatków","Absolute bestedingslimieten","ขีด จำกัด การใช้จ่ายอย่างแน่นอน","Absolutní limity výdajů","পরম ব্যয়ের সীমা","Batas pengeluaran absolut","مکمل اخراجات کی حدود","సంపూర్ణ వ్యయ పరిమితులు","परिपूर्ण खर्च मर्यादा","முழுமையான செலவு வரம்புகள்","સંપૂર્ણ ખર્ચ મર્યાદા","Абсолютні межі витрат","Ganap na mga limitasyon sa paggastos","Had perbelanjaan mutlak","Limite de cheltuieli absolute","Abszolút kiadási korlátok","Απόλυτα όρια δαπανών","Absoluta utgiftsgränser","Absolutte forbrugsgrænser","Absolutte utgiftsgrenser","Absoluuttiset menolajat","מגבלות הוצאות מוחלטות","محدودیت های هزینه مطلق","കേവല ചെലവ് പരിധി"
"absolute-spending-limits-description","Absolute spending limits instead of a percentage","Limites de dépenses absolues au lieu d'un pourcentage","Límites de gasto absoluto en lugar de un porcentaje","绝对支出限制而不是百分比","एक प्रतिशत के बजाय पूर्ण खर्च सीमाएं","حدود الإنفاق المطلق بدلاً من النسبة المئوية","Limites de gastos absolutos em vez de uma porcentagem","Абсолютные ограничения расходов вместо процента","パーセンテージではなく、絶対的な支出制限","Absolute Ausgabengrenzen anstelle eines Prozentsatzes","백분율 대신 절대 지출 한도","Yüzde yerine mutlak harcama sınırları","Limiti di spesa assoluti anziché una percentuale","Giới hạn chi tiêu tuyệt đối thay vì tỷ lệ phần trăm","Bezwzględne limity wydatków zamiast procentu","Absolute bestedingslimieten in plaats van een percentage","ขีด จำกัด การใช้จ่ายอย่างแน่นอนแทนเปอร์เซ็นต์","Absolutní limity výdajů namísto procenta","শতাংশের পরিবর্তে পরম ব্যয়ের সীমা","Batas pengeluaran absolut, bukan persentase","ایک فیصد کے بجائے خرچ کی مطلق حدود","ఒక శాతానికి బదులుగా సంపూర్ణ ఖర్చు పరిమితులు","टक्केवारीऐवजी निरपेक्ष खर्च मर्यादा","ஒரு சதவீதத்திற்கு பதிலாக முழுமையான செலவு வரம்புகள்","ટકાવારીને બદલે સંપૂર્ણ ખર્ચ મર્યાદા","Абсолютні межі витрат замість відсотків","Ganap na mga limitasyon sa paggastos sa halip na isang porsyento","Had perbelanjaan mutlak dan bukannya peratusan","Limite de cheltuieli absolute în loc de un procent","Abszolút kiadási korlátok egy százalék helyett","Απόλυτα όρια δαπανών αντί για ποσοστό","Absoluta utgiftsgränser istället för en procentandel","Absolutte udgiftsgrænser i stedet for en procentdel","Absolutte forbruksgrenser i stedet for en prosentandel","Absoluuttiset menolajat prosentuaalisesti","מגבלות הוצאות מוחלטות במקום אחוז","محدودیت هزینه های مطلق به جای درصدی","ഒരു ശതമാനത്തിന് പകരം സമ്പൂർണ്ണ ചെലവ് പരിധി"
"enter-limit","Enter Limit","Entrer la limite","Ingresar límite","输入限制","सीमा दर्ज करें","أدخل الحد","Insira o limite","Введите предел","制限を入力します","Geben Sie die Grenze ein","제한을 입력하십시오","Sınır girin","Inserire il limite","Nhập giới hạn","Wprowadź limit","Limiet in","ป้อนขีด จำกัด","Zadejte limit","সীমা প্রবেশ করান","Masukkan batas","حد داخل کریں","పరిమితిని నమోదు చేయండి","मर्यादा प्रविष्ट करा","வரம்பை உள்ளிடவும்","મર્યાદા દાખલ કરો","Введіть ліміт","Ipasok ang Limitasyon","Masukkan had","Introduceți limita","Írja be a limitet","Εισάγετε όριο","Gå in i gränsen","Indtast grænse","Angi grense","Kirjoittaa","הזן גבול","محدودیت را وارد کنید","പരിധി നൽകുക"
"set-limit","Set Limit","Limiter","Límite establecido","设置限制","निर्धारित सीमा","حدد الحد","Defina o limite","Установить предел","制限を設定します","Limit festlegen","설정 제한","Sınırlamak","Imposta limite","Đặt giới hạn","Ustaw limit","Instellen limiet","กำหนดขีด จำกัด","Nastavit limit","সীমা সেট করুন","Atur batas","حد مقرر کریں","సెట్ పరిమితి","मर्यादा सेट करा","வரம்பை அமைக்கவும்","નિર્ધારિત મર્યાદા","Встановити обмеження","Itakda ang Limitasyon","Tetapkan had","Limita de stabilire","Beállított határérték","Καθορισμένος όριο","Angränsande","Sæt grænse","Sett grense","Asettaa","הגדר גבול","حد تعیین","പരിധി നിശ്ചയിക്കുക"
"of-budget","of budget","de budget","de presupuesto","预算","बजट का","من الميزانية","de orçamento","бюджетного","予算の","des Budgets","예산의","bütçe","di budget","ngân sách","budżetowy","budget","ของงบประมาณ","rozpočtu","বাজেটের","anggaran","بجٹ کا","బడ్జెట్","अर्थसंकल्प","பட்ஜெட்","બજેટની","бюджет","ng badyet","bajet","de buget","költségvetés","προϋπολογισμός","budget","Budget","av budsjett","budjetti","של תקציב","بودجه","ബജറ്റിന്റെയും"
"transaction","Transaction","Transaction","Transacción","交易","लेन-देन","عملية","Transação","Сделка","取引","Transaktion","거래","İşlem","Transazione","Giao dịch","Transakcja","Transactie","ธุรกรรม","Transakce","লেনদেন","Transaksi","لین دین","లావాదేవీ","व्यवहार","பரிவர்த்தனை","સોદા","Транзакція","Transaksyon","Transaksi","Tranzacţie","Tranzakció","Συναλλαγή","Transaktion","Transaktion","Transaksjon","Tapahtuma","עִסקָה","معامله","ഇടപാട്"
"nickname","Nickname","Surnom","Apodo","昵称","उपनाम","كنية","Apelido","Прозвище","ニックネーム","Spitzname","별명","Takma ad","Nickname","Tên nick","Przezwisko","Bijnaam","ชื่อเล่น","Přezdívka","ডাকনাম","Nama panggilan","عرفی نام","మారుపేరు","टोपणनाव","புனைப்பெயர்","ઉપનામ","Прізвисько","Palayaw","Nama samaran","Poreclă","Becenév","Παρατσούκλι","Smeknamn","Kælenavn","Kallenavn","Nimimerkki","כינוי","نام مستعار","വിളിപ്പേര്"
"default","Default","Défaut","Por defecto","默认","गलती करना","تقصير","Padrão","По умолчанию","デフォルト","Standard","기본","Varsayılan","Predefinito","Mặc định","Domyślny","Standaard","ค่าเริ่มต้น","Výchozí","ডিফল্ট","Bawaan","پہلے سے طے شدہ","డిఫాల్ట్","डीफॉल्ट","இயல்புநிலை","બાકી","За замовчуванням","Default","Lalai","Mod implicit","Mulasztás","Προκαθορισμένο","Standard","Standard","Misligholde","Laiminlyönti","בְּרִירַת מֶחדָל","پیش فرض","കുറ്റം"
"subscription","Subscription","Abonnement","Suscripción","订阅","अंशदान","الاشتراك","Inscrição","Подписка","サブスクリプション","Abonnement","신청","Abonelik","Abbonamento","Đăng ký","Subskrypcja","Abonnement","การสมัครสมาชิก","Předplatné","সাবস্ক্রিপশন","Berlangganan","سبسکرپشن","చందా","सदस्यता","சந்தா","લવાજમ","Підписка","Subscription","Langganan","Abonament","Feliratkozás","Συνδρομή","Prenumeration","Abonnement","Abonnement","Tilaus","מִנוּי","اشتراک، ابونمان","സബ്സ്ക്രിപ്ഷൻ"
"repetitive","Repetitive","Répétitif","Repetitivo","重复","बार - बार आने वाला","تكرارية","Repetitivo","Повторяющийся","繰り返し","Sich wiederholt","반복적입니다","Tekrarlayan","Ricorrente","Lặp đi lặp lại","Powtarzalne","Herhalende","ซ้ำ","Opakující se","পুনরাবৃত্ত","Berulang","بار بار","పునరావృతమవుతుంది","पुनरावृत्ती","மீண்டும் மீண்டும்","પુનરાવર્તિત","Повторюваний","Paulit -ulit","Berulang -ulang","Repetitiv","Ismétlődő","Επαναλαμβανόμενες","Repetitiv","Gentagne","Repeterende","Toistuva","חוזר על עצמו","تکراری","ആവർത്തിച്ചുള്ള"
"added-to-other-budgets","Added to other budgets","Ajouté à d'autres budgets","Agregado a otros presupuestos","添加到其他预算中","अन्य बजटों में जोड़ा गया","يضاف إلى الميزانيات الأخرى","Adicionado a outros orçamentos","Добавлено в другие бюджеты","他の予算に追加されました","Zu anderen Budgets hinzugefügt","다른 예산에 추가되었습니다","Diğer bütçelere eklendi","Aggiunto ad altri budget","Được thêm vào ngân sách khác","Dodane do innych budżetów","Toegevoegd aan andere budgetten","เพิ่มไปยังงบประมาณอื่น ๆ","Přidáno k jiným rozpočtům","অন্যান্য বাজেটে যুক্ত","Ditambahkan ke anggaran lain","دوسرے بجٹ میں شامل کیا گیا","ఇతర బడ్జెట్లకు జోడించబడింది","इतर बजेटमध्ये जोडले","பிற வரவு செலவுத் திட்டங்களில் சேர்க்கப்பட்டது","અન્ય બજેટમાં ઉમેર્યું","Додано до інших бюджетів","Idinagdag sa iba pang mga badyet","Ditambah kepada belanjawan lain","Adăugat la alte bugete","Hozzáadva más költségvetéshez","Προστέθηκε σε άλλους προϋπολογισμούς","Tillagd till andra budgetar","Tilføjet til andre budgetter","Lagt til andre budsjetter","Lisätty muihin budjetteihin","נוסף לתקציבים אחרים","به بودجه های دیگر اضافه شده است","മറ്റ് ബജറ്റുകളിലേക്ക് ചേർത്തു"
"no-budget","No budget","Pas de budget","Sin presupuesto","没有预算","बजट नहीं","لا ميزانية","Sem orçamento","Нет бюджета","予算はありません","Kein Budget","예산 없음","Bütçe yok","Nessun budget","Không có ngân sách","Brak budżetu","Geen budget","ไม่มีงบประมาณ","Žádný rozpočet","কোনও বাজেট নেই","Tidak ada anggaran","کوئی بجٹ نہیں ہے","బడ్జెట్ లేదు","अर्थसंकल्प नाही","பட்ஜெட் இல்லை","કોઈ અંદાજપત્ર","Немає бюджету","Walang badyet","Tiada belanjawan","Fără buget","Nincs költségvetés","Χωρίς προϋπολογισμό","Ingen budget","Intet budget","Ingen budsjett","Ei budjettia","אין תקציב","بدون بودجه","ബജറ്റ് ഇല്ല"
"shared-to-other-budgets","Shared to other budgets","Partagé avec d'autres budgets","Compartido con otros presupuestos","共享其他预算","अन्य बजटों के लिए साझा किया गया","مشترك في ميزانيات أخرى","Compartilhado com outros orçamentos","Поделился с другими бюджетами","他の予算と共有","An andere Budgets geteilt","다른 예산과 공유","Diğer bütçelerle paylaşıldı","Condiviso ad altri budget","Chia sẻ với ngân sách khác","Udostępniane innym budżetom","Gedeeld met andere budgetten","แบ่งปันกับงบประมาณอื่น ๆ","Sdíleno s jinými rozpočty","অন্যান্য বাজেটে ভাগ করা","Dibagikan ke anggaran lain","دوسرے بجٹ میں مشترکہ","ఇతర బడ్జెట్లకు భాగస్వామ్యం చేయబడింది","इतर बजेटमध्ये सामायिक","பிற வரவு செலவுத் திட்டங்களுக்கு பகிரப்பட்டது","અન્ય બજેટમાં વહેંચાયેલ","Поділився з іншими бюджетами","Ibinahagi sa iba pang mga badyet","Dikongsi dengan belanjawan lain","Partajat altor bugete","Más költségvetéssel megosztva","Μοιράζεται με άλλους προϋπολογισμούς","Delas till andra budgetar","Delt til andre budgetter","Delt til andre budsjetter","Jaettu muille budjetteille","משותף לתקציבים אחרים","با بودجه های دیگر به اشتراک گذاشته شده است","മറ്റ് ബജറ്റുകളുമായി പങ്കിട്ടു"
"all-transactions","All transactions","Toutes transactions","Todas las transacciones","所有交易","सभी लेन - देन","كل الحركات المالية","Todas as transacções","Все транзакции","全取引","Alle Transaktionen","모든 거래 창구","Tüm İşlemler","Tutte le transazioni","Tất cả các giao dịch","Wszystkie operacje","Alle transacties","ธุรกรรมทั้งหมด","Všechny transakce","সমস্ত লেনদেন","Semua Transaksi","تمام لین دین","అన్ని లావాదేవీలు","सर्व व्यवहार","அனைத்து பரிவர்த்தனைகளும்","બધા વ્યવહાર","Всі транзакції","Lahat ng mga transaksyon","Semua urus niaga","Toate tranzacțiile","Minden tranzakció","Ολες οι συναλλαγές","Alla transaktioner","Alle transaktioner","Alle transaksjoner","Kaikki tapahtumat","כָּל הַפְּעוּלוֹת","همه معاملات","എല്ലാ ഇടപാടുകളും"
"added-only","Added only","Ajouté uniquement","Solo agregado","仅添加","केवल जोड़ा गया","أضاف فقط","Apenas adicionado","Добавлен только","追加のみ","Nur hinzugefügt","추가 만 추가되었습니다","Sadece eklendi","Solo transazioni aggiunte","Chỉ thêm","Tylko dodane","Alleen toegevoegd","เพิ่มเท่านั้น","Pouze přidáno","শুধুমাত্র যুক্ত","Ditambahkan saja","صرف شامل کیا گیا","మాత్రమే జోడించబడింది","केवळ जोडले","மட்டுமே சேர்க்கப்பட்டது","માત્ર ઉમેર્યું","Додано лише","Idinagdag lamang","Hanya ditambah","Adăugat doar","Csak hozzáadott","Προστέθηκε μόνο","Endast tillagd","Kun tilføjet","Lagt til","Vain lisätty","נוסף בלבד","فقط اضافه شده است","ചേർത്തു"
"select-period","Select period","Sélectionner la période","Período de selección","选择期","अवधि का चयन करें","حدد الفترة","Selecione Período","Выберите период","ピリオドを選択します","Periode auswählen","기간을 선택하십시오","Dönemi seçin","Seleziona periodo","Chọn thời gian","Wybierz okres","Selecteer de periode","เลือกระยะเวลา","Vyberte období","সময়কাল নির্বাচন করুন","Pilih periode","مدت منتخب کریں","వ్యవధిని ఎంచుకోండి","कालावधी निवडा","காலத்தைத் தேர்ந்தெடுக்கவும்","સમયગાળો પસંદ કરો","Вибір періоду","Piliin ang Panahon","Pilih Tempoh","Selectați perioada","Válassza ki az időszakot","Επιλεγμένη περίοδος","Välj period","Vælg periode","Velg periode","Valintajakso","בחר תקופה","دوره را انتخاب کنید","കാലയളവ് തിരഞ്ഞെടുക്കുക"
"custom","Custom","Coutume","Costumbre","风俗","रिवाज़","مخصص","Personalizado","Обычай","カスタム","Brauch","관습","Gelenek","Personalizzato","Phong tục","Zwyczaj","Aangepast","กำหนดเอง","Zvyk","কাস্টম","Kebiasaan","اپنی مرضی کے مطابق","ఆచారం","सानुकूल","வழக்கம்","રિવાજ","Звичайний","Pasadya","Adat","Personalizat","Egyedi","Εθιμο","Beställnings","Brugerdefinerede","Tilpasset","Mukautettu","המותאם אישית","سفارشی","സന്വദായം"
"daily","Daily","Quotidien","A diario","日常的","दैनिक","يوميًا","Diário","Ежедневно","毎日","Täglich","일일","Günlük","Quotidiano","Hằng ngày","Codziennie","Dagelijks","รายวัน","Denně","প্রতিদিন","Sehari-hari","روزانہ","రోజువారీ","दररोज","தினசரி","દૈનિક","Щоденний","Araw -araw","Setiap hari","Zilnic","Napi","Καθημερινά","Dagligen","Daglige","Daglig","Päivittäin","יום יומי","روزانه","ദിവസേന"
"weekly","Weekly","Hebdomadaire","Semanalmente","每周","साप्ताहिक","أسبوعي","Semanalmente","Еженедельно","毎週","Wöchentlich","주간","Haftalık","Settimanale","Hàng tuần","Co tydzień","Wekelijks","รายสัปดาห์","Týdně","সাপ্তাহিক","Mingguan","ہفتہ وار","వీక్లీ","साप्ताहिक","வாராந்திர","સાપ્તાહિક","Щотижня","Lingguhan","Setiap minggu","Săptămânal","Heti","Εβδομαδιαίος","Varje vecka","Ugentlig","Ukentlig","Viikoittain","שְׁבוּעִי","هفتگی","പതിവാരമായ"
"month","Month","Mois","Mes","月","महीना","شهر","Mês","Месяц","月","Monat","월","Ay","Mese","Tháng","Miesiąc","Maand","เดือน","Měsíc","মাস","Bulan","مہینہ","నెల","महिना","மாதம்","માસ","Місяць","Buwan","Bulan","Lună","Hónap","Μήνας","Månad","Måned","Måned","Kuukausi","חוֹדֶשׁ","ماه","മാസം"
"year","Year","Année","Año","年","वर्ष","سنة","Ano","Год","年","Jahr","년도","Yıl","Anno","Năm","Rok","Jaar","ปี","Rok","বছর","Tahun","سال","సంవత్సరం","वर्ष","ஆண்டு","વર્ષ","Рік","Taon","Tahun","An","Év","Ετος","År","År","År","Vuosi","שָׁנָה","سال","വര്ഷം"
"week","Week","Semaine","Semana","星期","सप्ताह","أسبوع","Semana","Неделя","週","Woche","주","Hafta","Settimana","Tuần","Tydzień","Week","สัปดาห์","Týden","সপ্তাহ","Pekan","ہفتے","వారం","आठवडा","வாரம்","અઠવાડિયામાં","Тиждень","Linggo","Minggu","Săptămână","Hét","Εβδομάδα","Vecka","Uge","Uke","Viikko","שָׁבוּעַ","هفته","ആഴ്ച"
"months","Months","Mois","Meses","月份","महीने","شهور","Meses","Месяцы","数ヶ月","Monate","달","Aylar","Mesi","Tháng","Miesiące","Maanden","เดือน","Měsíce","মাস","Bulan","مہینے","నెలల","महिने","மாதங்கள்","મહિના","Місяці","Buwan","Bulan","Luni","Hónapok","Μήνες","Månad","Måneder","Måneder","Kuukaudet","חודשים","ماه ها","മാസങ്ങൾ"
"years","Years","Années","Años","年","साल","سنين","Anos","Годы","年","Jahre","연령","Yıllar","Anni","Năm","Lata","Jaar","ปี","Roky","বছর","Bertahun-tahun","سال","సంవత్సరాలు","वर्षे","ஆண்டுகள்","વર્ષ","Роки","Taon","Tahun","Ani","Évek","Έτη","År","Flere år","År","Vuotta","שנים","سال ها","വർഷങ്ങൾ"
"weeks","Weeks","Semaines","Semanas","几周","हफ्तों","أسابيع","Semanas","Недели","週","Wochen","주","Haftalar","Settimane","Tuần","Tygodnie","Weken","หลายสัปดาห์","Týdny","সপ্তাহ","Minggu -minggu","ہفتے","వారాలు","आठवडे","வாரங்கள்","અઠવાડિયા","Тиждень","Linggo","Minggu","Săptămâni","Hetek","Εβδομάδες","Veckor","Uger","Uker","Viikot","שבועות","چند هفته","ആഴ്ചകളായി"
